结局池,研究,组,n,g,SE,CI_low,CI_high,权重pct,RoB,设计,标记
理论知识,中文AI01 饶柳,AI,120,0.612,0.187,0.246,0.979,12.0,有一些担忧,RCT,
理论知识,中文AI02 万丽丽,AI,91,0.757,0.217,0.332,1.183,11.1,有一些担忧,RCT,合成
理论知识,中文AI03 李梦晓,AI,60,0.413,0.261,-0.098,0.925,9.8,有一些担忧,RCT,
理论知识,中文AI04 朱丹,AI,60,1.729,0.304,1.134,2.325,8.7,有一些担忧,RCT,AI+BOPPPS
理论知识,中文AI05 张璐,AI,72,0.792,0.245,0.311,1.272,10.3,有一些担忧,RCT,
理论知识,中文AI06 张佳钰,AI,112,0.658,0.231,0.205,1.111,10.7,严重风险,准实验,S1剔除
理论知识,中文AI07 陈鹏鑫,AI,71,0.173,0.238,-0.293,0.639,10.5,高风险,准实验,S1剔除/阴性
理论知识,英文AI03 Sigirtmac,AI,25,-0.489,0.409,-1.291,0.313,6.4,有一些担忧,RCT,阴性
理论知识,英文AI04 Ergezen,AI,35,0.136,0.34,-0.53,0.802,7.8,有一些担忧,RCT,差值/SD近似/S2剔除
理论知识,英文AI06 Okuno,AI,169,0.609,0.158,0.299,0.918,12.8,中等风险,准实验,Wan换算/S2剔除
理论知识,中文VR01 李鹏,VR,66,0.938,0.26,0.429,1.448,9.7,有一些担忧,RCT,
理论知识,中文VR02 辜茜娟,VR,60,1.312,0.286,0.753,1.872,9.4,有一些担忧,RCT,
理论知识,中文VR03 王树本,VR,138,2.032,0.21,1.62,2.444,10.2,有一些担忧,RCT,
理论知识,中文VR04 王婷,VR,68,1.645,0.282,1.093,2.197,9.4,有一些担忧,RCT,
理论知识,中文VR05 余美华,VR,100,0.656,0.205,0.253,1.058,10.3,有一些担忧,RCT,
理论知识,中文VR06 张通,VR,26,1.934,0.482,0.988,2.879,7.0,有一些担忧,RCT,阴性
理论知识,英文VR01 García,VR,67,1.863,0.294,1.287,2.439,9.3,有一些担忧,RCT,
理论知识,英文VR02 He,VR,40,0.799,0.329,0.154,1.445,8.9,有一些担忧,RCT,A vs D
理论知识,英文VR03 Kurul,VR,72,1.283,0.259,0.774,1.791,9.7,有一些担忧,RCT,差值
理论知识,英文VR05 Twose,VR,38,0.072,0.325,-0.565,0.709,8.9,有一些担忧,RCT,Wan换算/非劣效试点/S2剔除
理论知识,英文VR06 Stam,VR,18,-0.212,0.473,-1.139,0.714,7.2,有一些担忧,RCT,Wan换算/交叉第一阶段/S2剔除
技能操作,中文AI02 万丽丽,AI,91,1.149,0.227,0.705,1.593,15.1,有一些担忧,RCT,合成
技能操作,中文AI03 李梦晓,AI,60,1.57,0.296,0.988,2.151,14.3,有一些担忧,RCT,
技能操作,中文AI04 朱丹,AI,60,1.979,0.317,1.358,2.601,14.1,有一些担忧,RCT,OSCE
技能操作,中文AI05 张璐,AI,72,1.397,0.264,0.88,1.914,14.7,有一些担忧,RCT,
技能操作,中文AI07 陈鹏鑫,AI,71,-0.127,0.238,-0.592,0.339,15.0,高风险,准实验,S1剔除/阴性
技能操作,英文AI03 Sigirtmac,AI,25,-0.497,0.41,-1.299,0.306,13.0,有一些担忧,RCT,阴性
技能操作,英文AI04 Ergezen,AI,35,0.415,0.343,-0.258,1.087,13.8,有一些担忧,RCT,Mini-CEX阴性
技能操作,中文VR01 李鹏,VR,66,0.951,0.26,0.441,1.461,12.9,有一些担忧,RCT,
技能操作,中文VR02 辜茜娟,VR,60,1.062,0.276,0.52,1.604,12.8,有一些担忧,RCT,
技能操作,中文VR03 王树本,VR,138,2.711,0.237,2.247,3.175,13.1,有一些担忧,RCT,
技能操作,中文VR04 王婷,VR,68,1.333,0.269,0.806,1.86,12.9,有一些担忧,RCT,
技能操作,中文VR05 余美华,VR,100,0.525,0.203,0.126,0.924,13.2,有一些担忧,RCT,
