结局池,亚组,k,全池I2%,全池g,剔除排序,剔除研究,剔除后I2%,I2变化(点),剔除后g,异质性性质
理论知识,AI,10,67.5,0.58,1,中文AI04 朱丹,38.4,+29.1,0.50,单篇驱动
理论知识,AI,10,67.5,0.58,2,英文AI03 Sigirtmac,60.8,+6.7,0.65,单篇驱动
理论知识,AI,10,67.5,0.58,3,中文AI07 陈鹏鑫,66.9,+0.6,0.62,单篇驱动
理论知识,AI,10,67.5,0.58,4,英文AI04 Ergezen,68.9,-1.4,0.61,单篇驱动
理论知识,AI,10,67.5,0.58,5,中文AI05 张璐,70.4,-2.9,0.55,单篇驱动
理论知识,AI,10,67.5,0.58,6,中文AI02 万丽丽,70.5,-3.0,0.55,单篇驱动
理论知识,AI,10,67.5,0.58,7,中文AI03 李梦晓,70.5,-3.0,0.59,单篇驱动
理论知识,AI,10,67.5,0.58,8,中文AI06 张佳钰,71.0,-3.5,0.56,单篇驱动
理论知识,AI,10,67.5,0.58,9,中文AI01 饶柳,71.1,-3.6,0.57,单篇驱动
理论知识,AI,10,67.5,0.58,10,英文AI06 Okuno,71.1,-3.6,0.57,单篇驱动
理论知识,VR,11,82.2,1.14,1,中文VR03 王树本,76.1,+6.1,1.04,弥漫性
理论知识,VR,11,82.2,1.14,2,英文VR05 Twose,79.2,+3.0,1.25,弥漫性
理论知识,VR,11,82.2,1.14,3,英文VR06 Stam,80.9,+1.4,1.24,弥漫性
理论知识,VR,11,82.2,1.14,4,中文VR05 余美华,81.2,+1.1,1.20,弥漫性
理论知识,VR,11,82.2,1.14,5,英文VR01 García,82.3,-0.0,1.07,弥漫性
理论知识,VR,11,82.2,1.14,6,中文VR04 王婷,83.2,-1.0,1.09,弥漫性
理论知识,VR,11,82.2,1.14,7,中文VR06 张通,83.3,-1.1,1.08,弥漫性
理论知识,VR,11,82.2,1.14,8,英文VR02 He,83.5,-1.3,1.17,弥漫性
理论知识,VR,11,82.2,1.14,9,中文VR01 李鹏,83.7,-1.4,1.16,弥漫性
理论知识,VR,11,82.2,1.14,10,中文VR02 辜茜娟,84.0,-1.7,1.12,弥漫性
理论知识,VR,11,82.2,1.14,11,英文VR03 Kurul,84.0,-1.7,1.12,弥漫性
技能操作,AI,7,88.8,0.86,1,中文AI07 陈鹏鑫,83.6,+5.2,1.04,弥漫性
技能操作,AI,7,88.8,0.86,2,中文AI04 朱丹,87.7,+1.2,0.68,弥漫性
技能操作,AI,7,88.8,0.86,3,英文AI03 Sigirtmac,87.9,+0.9,1.06,弥漫性
技能操作,AI,7,88.8,0.86,4,中文AI03 李梦晓,89.5,-0.7,0.74,弥漫性
技能操作,AI,7,88.8,0.86,5,中文AI05 张璐,89.9,-1.0,0.76,弥漫性
技能操作,AI,7,88.8,0.86,6,英文AI04 Ergezen,90.3,-1.5,0.93,弥漫性
技能操作,AI,7,88.8,0.86,7,中文AI02 万丽丽,90.4,-1.6,0.80,弥漫性
技能操作,VR,8,93.5,1.22,1,中文VR03 王树本,88.3,+5.3,0.95,弥漫性
技能操作,VR,8,93.5,1.22,2,英文VR04 Bonnin,91.2,+2.4,1.48,弥漫性
技能操作,VR,8,93.5,1.22,3,中文VR06 张通,93.5,-0.0,0.95,弥漫性
技能操作,VR,8,93.5,1.22,4,中文VR05 余美华,93.9,-0.4,1.33,弥漫性
技能操作,VR,8,93.5,1.22,5,英文VR02 He,94.4,-0.9,1.29,弥漫性
技能操作,VR,8,93.5,1.22,6,中文VR04 王婷,94.4,-0.9,1.21,弥漫性
技能操作,VR,8,93.5,1.22,7,中文VR01 李鹏,94.5,-0.9,1.27,弥漫性
技能操作,VR,8,93.5,1.22,8,中文VR02 辜茜娟,94.5,-0.9,1.25,弥漫性
高阶能力,AI,8,70.6,0.80,1,英文AI03 Sigirtmac,57.1,+13.5,0.90,弥漫性
高阶能力,AI,8,70.6,0.80,2,中文AI04 朱丹,63.9,+6.7,0.71,弥漫性
高阶能力,AI,8,70.6,0.80,3,英文AI04 Ergezen,66.1,+4.5,0.71,弥漫性
高阶能力,AI,8,70.6,0.80,4,中文AI01 饶柳,73.4,-2.9,0.83,弥漫性
高阶能力,AI,8,70.6,0.80,5,中文AI02 万丽丽,73.9,-3.4,0.78,弥漫性
高阶能力,AI,8,70.6,0.80,6,中文AI07 陈鹏鑫,74.4,-3.9,0.83,弥漫性
高阶能力,AI,8,70.6,0.80,7,英文AI02 Yildiz,74.4,-3.9,0.83,弥漫性
高阶能力,AI,8,70.6,0.80,8,中文AI06 张佳钰,74.7,-4.2,0.81,弥漫性
高阶能力,VR,3,91.7,1.31,1,中文VR03 王树本,0.0,+91.7,0.83,单篇驱动
高阶能力,VR,3,91.7,1.31,2,中文VR01 李鹏,91.5,+0.1,1.62,单篇驱动
高阶能力,VR,3,91.7,1.31,3,中文VR02 辜茜娟,95.2,-3.6,1.45,单篇驱动
满意度(连续),VR,3,95.3,1.66,1,英文VR01 García,75.8,+19.5,0.84,弥漫性
满意度(连续),VR,3,95.3,1.66,2,中文VR05 余美华,95.3,+0.0,2.27,弥漫性
满意度(连续),VR,3,95.3,1.66,3,中文VR01 李鹏,97.7,-2.3,1.92,弥漫性
